iter	Passed	Remaining
0	181	181781
1	198	99293
2	227	75726
3	253	63171
4	276	55092
5	295	48940
6	314	44545
7	329	40806
8	345	37990
9	361	35776
10	376	33857
11	391	32260
12	405	30774
13	421	29717
14	443	29151
15	469	28871
16	484	28012
17	498	27197
18	513	26533
19	527	25864
20	543	25359
21	564	25090
22	577	24535
23	591	24049
24	603	23543
25	621	23294
26	640	23076
27	663	23022
28	678	22732
29	693	22431
30	710	22207
31	724	21902
32	742	21757
33	754	21445
34	768	21188
35	783	20973
36	797	20753
37	812	20575
38	829	20450
39	848	20360
40	870	20368
41	889	20283
42	906	20168
43	922	20047
44	941	19988
45	961	19934
46	978	19848
47	994	19733
48	1014	19679
49	1036	19686
50	1091	20305
51	1122	20458
52	1141	20393
53	1160	20337
54	1177	20229
55	1193	20115
56	1210	20022
57	1226	19923
58	1243	19829
59	1263	19798
60	1284	19778
61	1300	19674
62	1315	19560
63	1327	19414
64	1341	19295
65	1356	19196
66	1373	19130
67	1390	19054
68	1407	18991
69	1429	18991
70	1447	18934
71	1471	18962
72	1498	19029
73	1517	18991
74	1535	18940
75	1551	18863
76	1567	18791
77	1585	18744
78	1606	18729
79	1623	18668
80	1644	18660
81	1661	18603
82	1683	18602
83	1702	18560
84	1718	18504
85	1737	18462
86	1752	18392
87	1768	18325
88	1786	18282
89	1803	18235
90	1818	18162
91	1832	18088
92	1847	18021
93	1862	17952
94	1880	17910
95	1899	17884
96	1918	17863
97	1934	17804
98	1947	17720
99	1961	17651
100	1976	17593
101	1992	17545
102	2008	17492
103	2023	17436
104	2040	17391
105	2055	17335
106	2071	17287
107	2088	17250
108	2108	17231
109	2134	17270
110	2152	17243
111	2172	17223
112	2197	17245
113	2221	17266
114	2245	17282
115	2271	17310
116	2288	17272
117	2311	17273
118	2330	17250
119	2345	17201
120	2362	17165
121	2378	17118
122	2393	17068
123	2410	17027
124	2425	16975
125	2443	16946
126	2458	16901
127	2476	16873
128	2495	16846
129	2515	16834
130	2532	16799
131	2549	16766
132	2570	16753
133	2585	16710
134	2603	16680
135	2620	16647
136	2636	16610
137	2651	16560
138	2665	16509
139	2679	16460
140	2697	16432
141	2714	16401
142	2731	16369
143	2753	16367
144	2771	16343
145	2787	16302
146	2804	16274
147	2820	16238
148	2836	16201
149	2854	16174
150	2869	16132
151	2887	16108
152	2902	16067
153	2919	16036
154	2935	16001
155	2952	15973
156	2970	15947
157	2986	15915
158	3003	15886
159	3021	15861
160	3036	15825
161	3051	15785
162	3066	15748
163	3081	15707
164	3098	15682
165	3116	15657
166	3132	15623
167	3148	15594
168	3165	15566
169	3183	15542
170	3202	15525
171	3224	15524
172	3240	15490
173	3257	15461
174	3273	15430
175	3284	15379
176	3300	15347
177	3315	15312
178	3332	15286
179	3348	15254
180	3364	15223
181	3388	15227
182	3405	15202
183	3420	15170
184	3436	15139
185	3451	15103
186	3467	15073
187	3485	15053
188	3503	15035
189	3524	15025
190	3539	14993
191	3553	14955
192	3569	14925
193	3584	14893
194	3602	14869
195	3619	14846
196	3633	14812
197	3648	14776
198	3664	14750
199	3679	14718
200	3690	14671
201	3706	14641
202	3722	14614
203	3737	14585
204	3752	14552
205	3766	14519
206	3782	14491
207	3799	14468
208	3818	14453
209	3835	14429
210	3850	14398
211	3867	14376
212	3885	14354
213	3904	14341
214	3926	14337
215	3948	14330
216	3968	14319
217	3995	14333
218	4014	14317
219	4035	14307
220	4065	14331
221	4083	14312
222	4100	14286
223	4117	14263
224	4133	14237
225	4149	14210
226	4167	14190
227	4187	14179
228	4209	14170
229	4228	14156
230	4248	14143
231	4264	14115
232	4280	14090
233	4295	14062
234	4312	14038
235	4328	14011
236	4344	13985
237	4360	13960
238	4378	13940
239	4393	13914
240	4410	13889
241	4427	13869
242	4450	13865
243	4470	13851
244	4490	13837
245	4507	13815
246	4525	13796
247	4542	13775
248	4557	13747
249	4574	13722
250	4590	13697
251	4608	13678
252	4624	13654
253	4641	13632
254	4658	13610
255	4674	13586
256	4690	13560
257	4706	13536
258	4723	13514
259	4739	13489
260	4755	13465
261	4772	13442
262	4788	13418
263	4807	13403
264	4832	13403
265	4849	13382
266	4868	13365
267	4883	13338
268	4899	13314
269	4915	13291
270	4929	13261
271	4945	13235
272	4956	13198
273	4971	13173
274	4986	13146
275	5001	13119
276	5017	13097
277	5034	13075
278	5051	13053
279	5067	13031
280	5082	13005
281	5097	12979
282	5113	12955
283	5131	12936
284	5147	12914
285	5162	12888
286	5176	12859
287	5188	12826
288	5202	12799
289	5218	12776
290	5234	12753
291	5252	12734
292	5272	12721
293	5297	12720
294	5317	12706
295	5338	12696
296	5359	12687
297	5377	12667
298	5397	12653
299	5414	12632
300	5429	12609
301	5447	12589
302	5462	12566
303	5487	12562
304	5504	12543
305	5519	12519
306	5535	12495
307	5552	12474
308	5567	12450
309	5584	12429
310	5600	12407
311	5616	12385
312	5631	12359
313	5648	12340
314	5665	12320
315	5683	12301
316	5699	12279
317	5715	12258
318	5732	12237
319	5751	12221
320	5773	12213
321	5795	12202
322	5814	12186
323	5831	12166
324	5848	12146
325	5865	12127
326	5885	12112
327	5903	12094
328	5918	12071
329	5934	12048
330	5947	12021
331	5965	12002
332	5978	11974
333	5993	11950
334	6009	11929
335	6026	11908
336	6050	11904
337	6070	11889
338	6091	11876
339	6115	11871
340	6132	11851
341	6149	11832
342	6167	11813
343	6182	11790
344	6196	11763
345	6210	11738
346	6223	11711
347	6237	11686
348	6251	11661
349	6265	11635
350	6281	11613
351	6295	11589
352	6312	11569
353	6327	11547
354	6340	11520
355	6356	11498
356	6369	11472
357	6384	11449
358	6397	11423
359	6411	11398
360	6429	11381
361	6449	11367
362	6462	11341
363	6476	11315
364	6491	11293
365	6509	11275
366	6525	11254
367	6540	11232
368	6555	11209
369	6570	11186
370	6585	11165
371	6601	11144
372	6616	11122
373	6632	11101
374	6648	11080
375	6664	11060
376	6679	11038
377	6690	11009
378	6706	10988
379	6725	10973
380	6740	10950
381	6756	10929
382	6769	10906
383	6784	10882
384	6798	10860
385	6813	10837
386	6826	10813
387	6907	10895
388	6947	10911
389	6964	10892
390	6977	10867
391	6989	10840
392	7002	10816
393	7018	10794
394	7032	10771
395	7049	10751
